ds,y
2025-07-29 19:38:18,78
2025-07-29 19:38:23,78
2025-07-29 19:38:28,78
2025-07-29 19:38:33,78
2025-07-29 19:38:39,78
2025-07-29 19:38:44,78
2025-07-29 19:38:49,78
2025-07-29 19:38:54,78
2025-07-29 19:38:59,78
2025-07-29 19:39:04,78
2025-07-29 19:39:09,78
2025-07-29 19:39:14,78
2025-07-29 19:39:19,78
2025-07-29 19:39:24,78
2025-07-29 19:39:29,78
2025-07-29 19:39:34,78
2025-07-29 19:39:39,78
2025-07-29 19:39:44,78
2025-07-29 19:39:49,79
2025-07-29 19:39:54,79
2025-07-29 19:39:59,79
2025-07-29 19:40:04,79
2025-07-29 19:40:09,79
2025-07-29 19:40:14,79
2025-07-29 19:40:19,79
2025-07-29 19:40:24,79
2025-07-29 19:40:29,79
2025-07-29 19:40:34,79
2025-07-29 19:40:39,79
2025-07-29 19:40:44,79
2025-07-29 19:40:49,79
2025-07-29 19:40:55,79
2025-07-29 19:41:00,79
2025-07-29 19:41:05,79
2025-07-29 19:41:10,79
2025-07-29 19:41:15,79
2025-07-29 19:41:20,79
2025-07-29 19:41:25,79
2025-07-29 19:41:30,79
2025-07-29 19:41:35,79
2025-07-29 19:41:40,79
2025-07-29 19:41:45,79
2025-07-29 19:41:50,79
2025-07-29 19:41:55,79
2025-07-29 19:42:00,79
2025-07-29 19:42:05,79
2025-07-29 19:42:10,79
2025-07-29 19:42:15,79
2025-07-29 19:42:20,79
2025-07-29 19:42:25,79
2025-07-29 19:42:30,79
2025-07-29 19:42:35,79
2025-07-29 19:42:40,79
2025-07-29 19:42:45,79
2025-07-29 19:42:50,79
2025-07-29 19:42:55,79
2025-07-29 19:43:00,79
2025-07-29 19:43:05,79
2025-07-29 19:43:10,79
2025-07-29 19:43:15,79
2025-07-29 19:43:20,79
2025-07-29 19:43:25,79
2025-07-29 19:43:30,79
2025-07-29 19:43:35,79
2025-07-29 19:43:40,79
2025-07-29 19:43:45,79
2025-07-29 19:43:50,79
2025-07-29 19:43:55,79
2025-07-29 19:44:00,79
2025-07-29 19:44:06,79
2025-07-29 19:44:11,79
2025-07-29 19:44:16,79
2025-07-29 19:44:21,79
2025-07-29 19:44:26,79
2025-07-29 19:44:32,79
2025-07-29 19:44:36,79
2025-07-29 19:44:42,79
2025-07-29 19:44:47,79
2025-07-29 19:44:52,79
2025-07-29 19:44:57,79
2025-07-29 19:45:02,79
2025-07-29 19:45:07,79
2025-07-29 19:45:12,79
2025-07-29 19:45:17,79
2025-07-29 19:45:22,79
2025-07-29 19:45:27,79
2025-07-29 19:45:32,79
2025-07-29 19:45:37,79
2025-07-29 19:45:42,79
2025-07-29 19:45:47,79
2025-07-29 20:12:53,80
